,Height,RewardFee,Transactions,blockchain,nonce,time,Time,AvgFee/Tx
83,1331431,0.43284999,152,LTC.main,0,2017-12-13T12:50:20Z,2017-12-13 12:50:20,0.002847697302631579
84,1331430,0.28734928,91,LTC.main,0,2017-12-13T12:48:13Z,2017-12-13 12:48:13,0.003157684395604396
85,1331429,0.22826973,63,LTC.main,0,2017-12-13T12:47:09Z,2017-12-13 12:47:09,0.003623329047619048
86,1331428,0.94626555,398,LTC.main,0,2017-12-13T12:46:26Z,2017-12-13 12:46:26,0.002377551633165829
87,1331427,1.04182425,168,LTC.main,0,2017-12-13T12:45:03Z,2017-12-13 12:45:03,0.006201334821428572
88,1331426,0.25334506,86,LTC.main,0,2017-12-13T12:39:44Z,2017-12-13 12:39:44,0.0029458727906976744
89,1331425,0.0,1,LTC.main,0,2017-12-13T12:39:40Z,2017-12-13 12:39:40,0.0
90,1331424,0.55696668,130,LTC.main,0,2017-12-13T12:39:20Z,2017-12-13 12:39:20,0.004284359076923077
91,1331423,0.1503465,47,LTC.main,0,2017-12-13T12:37:09Z,2017-12-13 12:37:09,0.0031988617021276593
92,1331422,0.0,1,LTC.main,0,2017-12-13T12:36:55Z,2017-12-13 12:36:55,0.0
93,1331421,0.5180629800000001,476,LTC.main,0,2017-12-13T12:38:43Z,2017-12-13 12:38:43,0.001088367605042017
94,1331420,1.0404942,168,LTC.main,0,2017-12-13T12:36:31Z,2017-12-13 12:36:31,0.006193417857142856
95,1331419,0.93538956,160,LTC.main,0,2017-12-13T12:31:32Z,2017-12-13 12:31:32,0.00584618475
96,1331418,0.05683445,21,LTC.main,0,2017-12-13T12:27:22Z,2017-12-13 12:27:22,0.002706402380952381
97,1331417,0.72400291,234,LTC.main,0,2017-12-13T12:27:08Z,2017-12-13 12:27:08,0.00309402952991453
98,1331416,1.78825298,534,LTC.main,0,2017-12-13T12:24:11Z,2017-12-13 12:24:11,0.003348788352059925
99,1331415,0.19523413,40,LTC.main,0,2017-12-13T12:17:33Z,2017-12-13 12:17:33,0.00488085325
100,1331414,0.14691512,58,LTC.main,0,2017-12-13T12:16:12Z,2017-12-13 12:16:12,0.002533019310344828
101,1331413,0.0,1,LTC.main,0,2017-12-13T12:15:48Z,2017-12-13 12:15:48,0.0
102,1331412,1.09581606,360,LTC.main,0,2017-12-13T12:15:43Z,2017-12-13 12:15:43,0.0030439335
103,1331411,0.50061477,224,LTC.main,0,2017-12-13T12:10:31Z,2017-12-13 12:10:31,0.0022348873660714285
104,1331410,0.0,1,LTC.main,0,2017-12-13T12:09:46Z,2017-12-13 12:09:46,0.0
105,1331409,0.86871029,175,LTC.main,0,2017-12-13T12:09:15Z,2017-12-13 12:09:15,0.0049640588
106,1331408,2.96617358,985,LTC.main,0,2017-12-13T12:04:49Z,2017-12-13 12:04:49,0.003011343736040609
107,1331407,0.12547024,39,LTC.main,0,2017-12-13T11:51:41Z,2017-12-13 11:51:41,0.003217185641025641
108,1331406,0.03491469,13,LTC.main,0,2017-12-13T11:51:25Z,2017-12-13 11:51:25,0.0026857453846153845
109,1331405,0.5823517300000001,205,LTC.main,0,2017-12-13T11:51:04Z,2017-12-13 11:51:04,0.002840740146341464
110,1331404,0.0,1,LTC.main,0,2017-12-13T11:50:46Z,2017-12-13 11:50:46,0.0
111,1331403,0.0,1,LTC.main,0,2017-12-13T11:48:33Z,2017-12-13 11:48:33,0.0
112,1331402,0.41552571,92,LTC.main,0,2017-12-13T11:48:32Z,2017-12-13 11:48:32,0.0045165838043478256
113,1331401,0.04050312,18,LTC.main,0,2017-12-13T11:47:33Z,2017-12-13 11:47:33,0.002250173333333333
114,1331400,0.72318109,240,LTC.main,0,2017-12-13T11:47:25Z,2017-12-13 11:47:25,0.003013254541666667
115,1331399,0.07632303,33,LTC.main,0,2017-12-13T11:43:56Z,2017-12-13 11:43:56,0.002312819090909091
116,1331398,0.23764053,71,LTC.main,0,2017-12-13T11:43:29Z,2017-12-13 11:43:29,0.0033470497183098595
117,1331397,0.49210099,157,LTC.main,0,2017-12-13T11:42:36Z,2017-12-13 11:42:36,0.0031344012101910826
118,1331396,0.7114030100000001,264,LTC.main,0,2017-12-13T11:40:59Z,2017-12-13 11:40:59,0.002694708371212121
119,1331395,0.0,1,LTC.main,0,2017-12-13T11:38:12Z,2017-12-13 11:38:12,0.0
